 Zeit,01.01.11,02.01.11,03.01.11,04.01.11,05.01.11,06.01.11,07.01.11,08.01.11,09.01.11,10.01.11,11.01.11,12.01.11,13.01.11,14.01.11,15.01.11,16.01.11,17.01.11,18.01.11,19.01.11,20.01.11,21.01.11,22.01.11,23.01.11,24.01.11,25.01.11,26.01.11,27.01.11,28.01.11,29.01.11,30.01.11,31.01.11
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,0,0,5,1,2,0,0,0,0,4,4,1,2,4,0,0,2,3,1,4,0,0,0,3,4,0,6,1,0,0,0
08:00,0,0,14,10,22,0,18,0,0,9,14,20,25,22,0,0,22,63,2,21,23,0,0,13,15,13,11,23,0,0,12
09:00,0,0,10,10,17,0,15,2,0,17,15,12,25,18,13,0,15,16,25,24,22,2,0,20,29,12,8,29,10,0,15
10:00,0,0,14,20,16,0,22,16,0,12,15,21,29,32,32,0,33,22,12,14,28,18,0,13,15,14,11,31,15,0,18
11:00,0,10,29,18,33,12,22,25,6,20,20,12,18,12,51,16,29,20,29,32,29,30,9,20,22,18,10,27,24,11,25
12:00,0,17,57,61,64,19,53,44,14,44,39,23,52,61,32,29,37,31,37,56,40,49,27,34,50,23,42,47,61,27,44
13:00,21,34,66,47,68,29,61,86,13,56,59,34,41,47,60,54,65,57,40,59,39,70,18,50,58,58,57,46,64,44,75
14:00,33,60,80,61,57,41,56,106,29,29,35,32,34,37,96,95,43,41,27,38,36,103,37,24,39,39,24,41,85,83,16
15:00,37,58,68,60,77,60,78,125,41,32,30,34,34,43,102,101,72,37,40,36,38,106,76,34,23,32,29,51,61,93,37
16:00,68,84,79,62,60,61,51,119,67,54,42,25,28,57,101,95,54,47,46,52,65,110,78,55,27,39,38,50,100,91,42
17:00,38,45,49,43,58,38,53,94,28,29,20,26,37,44,95,66,43,30,45,36,45,61,48,22,40,37,51,51,93,62,42
18:00,7,18,35,23,34,14,28,42,25,20,25,31,29,28,35,25,18,28,26,17,23,31,14,12,23,21,27,28,41,45,23
19:00,0,3,9,5,8,2,28,11,5,6,8,19,16,14,16,2,14,15,4,15,17,12,7,8,5,10,10,11,6,8,14
20:00,0,0,0,0,7,1,3,0,0,4,0,0,6,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0,1,0,1
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
