 Zeit;01.02.11;02.02.11;03.02.11;04.02.11;05.02.11;06.02.11;07.02.11;08.02.11;09.02.11;10.02.11;11.02.11;12.02.11;13.02.11;14.02.11;15.02.11;16.02.11;17.02.11;18.02.11;19.02.11;20.02.11;21.02.11;22.02.11;23.02.11;24.02.11;25.02.11;26.02.11;27.02.11;28.02.11;29.02.11;30.02.11;31.02.11
06:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07:00;0;0;1;0;0;0;3;3;3;8;6;0;0;4;3;2;4;6;0;0;4;10;11;9;14;0;0;8;0;0;0
08:00;24;16;10;20;0;0;8;11;20;22;22;0;0;27;20;27;20;18;0;0;18;21;9;13;9;0;0;20;0;0;0
09:00;25;13;18;25;2;0;10;26;31;23;22;14;0;12;12;18;26;27;1;0;15;19;19;18;22;5;0;15;0;0;0
10:00;16;11;22;30;21;0;19;6;17;23;33;22;0;31;14;20;22;22;22;0;10;16;31;11;22;23;7;15;0;0;0
11:00;22;30;16;33;54;10;26;18;22;33;26;50;28;28;17;31;29;23;28;16;29;21;33;14;29;53;8;32;0;0;0
12:00;50;51;30;30;60;29;56;45;59;47;68;34;25;50;37;33;44;37;54;19;69;37;44;31;57;55;27;55;0;0;0
13:00;52;52;62;57;74;51;69;42;51;54;67;71;32;52;63;73;61;49;80;35;43;49;51;44;30;82;41;69;0;0;0
14:00;15;38;31;29;110;117;45;33;34;29;44;152;65;36;42;43;37;44;67;45;48;34;25;49;54;86;62;25;0;0;0
15:00;23;35;36;32;117;133;50;23;30;38;56;134;107;39;30;50;33;31;94;46;37;44;59;41;53;106;73;42;0;0;0
16:00;42;45;28;46;120;125;67;39;39;50;48;127;121;63;57;62;49;55;101;66;47;31;80;99;33;81;60;56;0;0;0
17:00;32;35;48;40;127;106;62;29;36;65;46;96;66;51;44;71;15;54;80;43;27;48;32;32;43;65;32;34;0;0;0
18:00;21;16;22;43;42;15;32;30;29;23;35;28;23;9;32;21;22;25;37;17;13;8;14;24;13;51;15;40;0;0;0
19:00;11;16;12;32;7;12;10;29;13;9;23;17;1;8;15;8;15;11;9;7;7;5;17;6;10;0;5;7;0;0;0
20:00;0;0;1;0;0;0;0;0;0;1;0;0;1;0;6;1;4;6;1;0;1;2;0;0;0;0;0;0;0;0;0
21:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0