Bagel Cream Cheese here;57
Bagel Cream Cheese to go;20
Bagel Fitness here;97
Bagel Fitness to go;45
Bagel Green Garden here;15
Bagel Green Garden to go;2
Bagel India here;26
Bagel India to go;9
Bagel Mexico here;78
Bagel Mexico to go;20
Bagel Morning Star here;11
Bagel Peanut Butter here;9
Bagel Peanut Butter to go;1
Bagel plain here;25
Bagel plain to go;53
Bagel Roma oder Florenz here;218
Bagel Roma oder Florenz to go;57
Bagel Stulle Deluxe here;54
Bagel Stulle Deluxe to go;23
Brezel Butter here;22
Brezel Butter to go;3
Brezel plain here;64
Brezel plain to go;24
Brownie here;1
Cafe Creme groﬂ  here;108
Cafe Creme groﬂ  to go;75
Cafe Creme klein  here;290
Cafe Creme klein  to go;110
Caffe Latte mit Sirup here;70
Caffe Latte mit Sirup to go;34
Caffe Latte ohne Sirup here;346
Caffe Latte ohne Sirup to go;220
Cappuccino groﬂ  here;267
Cappuccino groﬂ  to go;168
Cappuccino klein  here;386
Cappuccino klein  to go;110
Chai Tea groﬂ Chai Banana here;29
Chai Tea groﬂ Chai Banana to go;6
Chai Tea groﬂ Chai Tea Latte here;127
Chai Tea groﬂ Chai Tea Latte to go;37
Chai Tea klein Chai Banana here;1
Chai Tea klein Chai Tea Latte here;73
Chai Tea klein Chai Tea Latte to go;23
Chocolate groﬂ Bio-Kakao here;8
Chocolate groﬂ Bio-Kakao to go;4
Chocolate groﬂ black bring in;1
Chocolate groﬂ black here;47
Chocolate groﬂ black to go;14
Chocolate groﬂ white here;20
Chocolate groﬂ white to go;5
Chocolate klein Bio-Kakao here;5
Chocolate klein Bio-Kakao to go;1
Chocolate klein black here;70
Chocolate klein black to go;18
Chocolate klein mit Sirup to go;1
Chocolate klein white here;17
Chocolate klein white to go;8
Cookie here;167
Cookie to go;97
Cool Latte Iced Caffe here;82
Cool Latte Iced Caffe to go;88
Cool Latte Iced Espresso here;24
Cool Latte Iced Espresso to go;13
Cool Latte Iced Macchiato here;160
Cool Latte Iced Macchiato to go;121
Donut here;173
Donut to go;117