 Zeit,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00
Bagel Cream Cheese here,0,0,2,3,4,10,6,12,1,1,8,8,2,0,0,0,0
Bagel Cream Cheese to go,0,3,6,2,0,0,0,1,2,3,2,1,0,0,0,0,0
Bagel Fitness here,0,1,5,1,6,15,21,17,8,8,6,3,4,2,0,0,0
Bagel Fitness to go,0,0,3,3,6,3,10,9,3,4,2,1,0,1,0,0,0
Bagel Green Garden here,0,0,0,1,0,0,6,2,1,1,2,1,1,0,0,0,0
Bagel Green Garden to go,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Bagel India here,0,0,0,0,0,3,8,5,4,2,0,4,0,0,0,0,0
Bagel India to go,0,0,0,0,0,0,2,4,2,1,0,0,0,0,0,0,0
Bagel Mexico here,0,0,0,3,1,6,19,10,11,11,7,7,1,2,0,0,0
Bagel Mexico to go,0,0,0,0,0,1,5,1,1,2,5,4,1,0,0,0,0
Bagel Morning Star here,0,1,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0
Bagel Peanut Butter here,0,0,0,2,0,4,1,0,0,0,1,1,0,0,0,0,0
Bagel Peanut Butter to go,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bagel plain here,0,0,0,1,1,7,3,4,4,2,2,0,1,0,0,0,0
Bagel plain to go,0,3,12,5,1,0,4,6,3,6,7,4,2,0,0,0,0
Bagel Roma oder Florenz here,0,2,5,7,16,20,45,43,37,13,10,5,11,4,0,0,0
Bagel Roma oder Florenz to go,0,2,2,4,6,1,13,8,4,8,4,3,1,1,0,0,0
Bagel Stulle Deluxe here,0,0,0,7,2,6,8,16,1,5,4,3,1,1,0,0,0
Bagel Stulle Deluxe to go,0,0,2,1,3,1,3,6,1,1,1,1,0,1,2,0,0
Brezel Butter here,0,1,1,0,1,2,3,4,1,2,4,2,1,0,0,0,0
Brezel Butter to go,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Brezel plain here,0,1,0,2,3,11,9,5,2,5,11,4,5,6,0,0,0
Brezel plain to go,0,0,5,1,1,1,2,1,1,2,3,2,3,2,0,0,0
Brownie here,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cafe Creme groﬂ  here,0,2,3,3,8,5,7,6,15,20,18,9,7,4,1,0,0
Cafe Creme groﬂ  to go,0,5,11,4,10,8,1,8,2,6,9,8,3,0,0,0,0
Cafe Creme klein  here,0,22,7,9,12,25,31,27,17,28,36,35,30,11,0,0,0
Cafe Creme klein  to go,0,4,13,11,4,3,7,11,9,13,19,4,5,7,0,0,0
Caffe Latte mit Sirup here,0,1,2,2,3,2,5,10,11,9,10,7,8,0,0,0,0
Caffe Latte mit Sirup to go,0,0,0,1,1,5,1,1,6,6,5,4,2,2,0,0,0
